label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,16384,16384,16384,bf16,30,5.432617404342939,5.480867985170335,5.736899969633669,1619.1261720687774,1604.8722658541892,1533.248456268565,0,2062,3996,1950,3996
node2_gpu1,16384,16384,16384,bf16,30,5.637950902261461,5.747781018726528,5.859044031240046,1560.157790426973,1530.3458836636148,1501.284676358088,1,2062,3996,1950,3996
node2_gpu2,16384,16384,16384,bf16,30,5.67968106479384,5.7841650559566915,5.99581201095134,1548.6948865371332,1520.7195744093683,1467.039494590883,2,2062,3996,1950,3996
node2_gpu3,16384,16384,16384,bf16,30,5.6609727985536065,5.769893003161997,5.980388028547168,1553.8129814818092,1524.4811329062074,1470.8231272319063,3,2062,3996,1950,3996
