label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu1,256,4096,4096,bf16,254.20,207.47,212.98,0.0338,0.0428,0.0403,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,2304,4096,4096,bf16,1135.30,1072.68,1092.44,0.0681,0.0723,0.0708,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,4352,4096,4096,bf16,1076.78,1049.11,1052.08,0.1356,0.1393,0.1388,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,6400,4096,4096,bf16,1213.76,1179.01,1177.25,0.1769,0.1822,0.1824,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,8448,4096,4096,bf16,1347.69,1327.77,1332.99,0.2103,0.2135,0.2127,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,10496,4096,4096,bf16,1424.52,1384.78,1387.70,0.2472,0.2544,0.2538,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,12544,4096,4096,bf16,1442.88,1421.48,1422.60,0.2917,0.2962,0.2959,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,14592,4096,4096,bf16,1638.91,1605.45,1608.07,0.2988,0.3051,0.3045,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,16640,4096,4096,bf16,1585.63,1548.74,1549.75,0.3521,0.3606,0.3603,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,18688,4096,4096,bf16,1571.06,1490.91,1470.99,0.3991,0.4210,0.4263,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,256,4096,4096,bf16,207.45,178.65,188.55,0.0414,0.0495,0.0456,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,2304,4096,4096,bf16,1160.38,1090.90,1107.20,0.0666,0.0710,0.0698,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,4352,4096,4096,bf16,1084.20,1054.52,1056.83,0.1347,0.1385,0.1382,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,6400,4096,4096,bf16,1183.58,1155.82,1154.17,0.1814,0.1858,0.1861,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,8448,4096,4096,bf16,1350.36,1307.75,1307.32,0.2099,0.2168,0.2168,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,10496,4096,4096,bf16,1389.28,1364.05,1362.79,0.2535,0.2582,0.2584,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,12544,4096,4096,bf16,1436.42,1410.62,1411.91,0.2930,0.2984,0.2981,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,14592,4096,4096,bf16,1511.64,1492.61,1494.44,0.3239,0.3281,0.3276,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,16640,4096,4096,bf16,1511.72,1496.04,1496.55,0.3693,0.3732,0.3731,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,18688,4096,4096,bf16,1522.59,1493.93,1492.67,0.4118,0.4198,0.4201,NVIDIA GB200,2062,3996,1950,3996
