label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,256,4096,4096,bf16,252.53,215.02,224.08,0.0340,0.0412,0.0383,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,2304,4096,4096,bf16,895.12,840.92,852.18,0.0864,0.0922,0.0907,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,4352,4096,4096,bf16,1068.96,1044.10,1055.61,0.1366,0.1400,0.1383,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,6400,4096,4096,bf16,1191.35,1156.50,1157.85,0.1803,0.1857,0.1855,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,8448,4096,4096,bf16,1381.10,1346.13,1346.46,0.2052,0.2106,0.2105,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,10496,4096,4096,bf16,1396.50,1366.29,1370.94,0.2522,0.2579,0.2569,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,12544,4096,4096,bf16,1444.15,1422.54,1426.22,0.2915,0.2959,0.2951,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,14592,4096,4096,bf16,1505.84,1478.64,1482.85,0.3252,0.3312,0.3302,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,16640,4096,4096,bf16,1513.16,1496.61,1498.16,0.3690,0.3731,0.3727,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,18688,4096,4096,bf16,1540.67,1524.45,1527.82,0.4070,0.4114,0.4104,NVIDIA GB200,2062,3996,1950,3996
