label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu3,256,4096,4096,bf16,270.06,230.53,239.05,0.0318,0.0382,0.0359,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,2304,4096,4096,bf16,965.98,915.14,918.25,0.0800,0.0846,0.0842,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,4352,4096,4096,bf16,1183.46,1067.05,1044.63,0.1234,0.1372,0.1398,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,6400,4096,4096,bf16,1255.54,1222.25,1227.19,0.1710,0.1758,0.1750,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,8448,4096,4096,bf16,1412.37,1367.44,1376.06,0.2007,0.2074,0.2060,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,10496,4096,4096,bf16,1451.39,1417.69,1422.04,0.2427,0.2485,0.2477,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,12544,4096,4096,bf16,1486.25,1407.36,1402.42,0.2832,0.2992,0.3001,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,14592,4096,4096,bf16,1578.71,1503.18,1497.44,0.3101,0.3259,0.3270,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,16640,4096,4096,bf16,1569.09,1548.08,1547.32,0.3558,0.3607,0.3608,NVIDIA GB200,2062,3996,1950,3996
node2_gpu3,18688,4096,4096,bf16,1633.94,1607.93,1604.57,0.3838,0.3900,0.3908,NVIDIA GB200,2062,3996,1950,3996
