label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,256,4096,4096,bf16,203.82,176.16,187.85,0.0421,0.0512,0.0457,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,2304,4096,4096,bf16,932.07,881.58,883.34,0.0829,0.0878,0.0875,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,4352,4096,4096,bf16,995.51,967.30,969.81,0.1467,0.1510,0.1506,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,6400,4096,4096,bf16,1104.49,1088.38,1092.01,0.1944,0.1974,0.1967,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,8448,4096,4096,bf16,1252.24,1232.02,1237.99,0.2264,0.2302,0.2290,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,10496,4096,4096,bf16,1507.24,1467.09,1479.98,0.2337,0.2402,0.2380,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,12544,4096,4096,bf16,1370.71,1347.76,1354.83,0.3071,0.3124,0.3107,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,14592,4096,4096,bf16,1618.79,1473.75,1439.33,0.3025,0.3330,0.3402,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,16640,4096,4096,bf16,1498.48,1466.64,1466.61,0.3726,0.3808,0.3807,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,18688,4096,4096,bf16,1522.12,1499.47,1501.71,0.4120,0.4182,0.4176,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,256,4096,4096,bf16,265.25,222.59,236.14,0.0324,0.0404,0.0364,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,2304,4096,4096,bf16,1127.88,1057.55,1066.17,0.0685,0.0732,0.0725,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,4352,4096,4096,bf16,1102.27,1022.75,1014.43,0.1325,0.1429,0.1440,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,6400,4096,4096,bf16,1208.73,1166.20,1166.10,0.1777,0.1842,0.1842,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,8448,4096,4096,bf16,1519.19,1465.77,1467.59,0.1866,0.1935,0.1932,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,10496,4096,4096,bf16,1393.15,1370.59,1371.96,0.2528,0.2570,0.2567,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,12544,4096,4096,bf16,1449.40,1424.57,1424.99,0.2904,0.2955,0.2954,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,14592,4096,4096,bf16,1523.83,1484.91,1484.73,0.3213,0.3298,0.3298,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,16640,4096,4096,bf16,1547.52,1522.11,1522.74,0.3608,0.3669,0.3667,NVIDIA GB200,2062,3996,1950,3996
node1_gpu0,18688,4096,4096,bf16,1589.28,1565.42,1568.60,0.3946,0.4006,0.3998,NVIDIA GB200,2062,3996,1950,3996
