test,sum_gbps
host_to_device_memcpy_ce,845.75
device_to_host_memcpy_ce,773.95
host_to_device_bidirectional_memcpy_ce,673.69
device_to_host_bidirectional_memcpy_ce,669.6
device_to_device_memcpy_read_ce,9218.34
device_to_device_memcpy_write_ce,9302.69
device_to_device_bidirectional_memcpy_read_ce_read1,9163.91
device_to_device_bidirectional_memcpy_read_ce_read2,9161.34
device_to_device_bidirectional_memcpy_read_ce_total,18325.26
device_to_device_bidirectional_memcpy_write_ce_write1,9252.52
device_to_device_bidirectional_memcpy_write_ce_write2,9245.81
device_to_device_bidirectional_memcpy_write_ce_total,18498.33
all_to_host_memcpy_ce,734.45
all_to_host_bidirectional_memcpy_ce,346.93
host_to_all_memcpy_ce,706.51
host_to_all_bidirectional_memcpy_ce,345.63
all_to_one_write_ce,3179.19
all_to_one_read_ce,2635.82
one_to_all_write_ce,2981.51
one_to_all_read_ce,3178.98
host_to_device_memcpy_sm,845.83
device_to_host_memcpy_sm,773.57
host_to_device_bidirectional_memcpy_sm,666.15
device_to_host_bidirectional_memcpy_sm,664.65
device_to_device_memcpy_read_sm,9422.1
device_to_device_memcpy_write_sm,8605.55
device_to_device_bidirectional_memcpy_read_sm_read1,8081.8
device_to_device_bidirectional_memcpy_read_sm_read2,8084.12
device_to_device_bidirectional_memcpy_read_sm_total,16165.92
device_to_device_bidirectional_memcpy_write_sm_write1,8475.2
device_to_device_bidirectional_memcpy_write_sm_write2,8474.33
device_to_device_bidirectional_memcpy_write_sm_total,16949.53
all_to_host_memcpy_sm,702.33
all_to_host_bidirectional_memcpy_sm,329.35
host_to_all_memcpy_sm,687.57
host_to_all_bidirectional_memcpy_sm,329.15
all_to_one_write_sm,2873.16
all_to_one_read_sm,2898.02
one_to_all_write_sm,2921.64
one_to_all_read_sm,2873.25
host_device_latency_sm,2363.07
device_to_device_latency_sm,20766.58
device_local_copy,13080.72
