label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,16384,16384,16384,bf16,50,5.979127899627201,6.078962003812194,6.17700899601914,1471.1331100236935,1446.9728576510036,1424.0052148016564,0,2062,3996,1950,3996
node2_gpu1,16384,16384,16384,bf16,50,5.820273918798193,5.924595985561609,6.118737976066768,1511.2850606220732,1484.6738990547713,1437.5665466659323,1,2062,3996,1950,3996
node2_gpu2,16384,16384,16384,bf16,50,5.763129838160239,5.966579978121445,6.320465006865561,1526.27014646888,1474.226953206352,1391.684474584276,2,2062,3996,1950,3996
node2_gpu3,16384,16384,16384,bf16,50,5.922850781935267,5.989044992020354,6.046580005204305,1485.1113671538276,1468.6971017796131,1454.7220105641838,3,2062,3996,1950,3996
