label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu1,256,4096,4096,bf16,280.50,250.99,260.24,0.0306,0.0356,0.0330,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,2304,4096,4096,bf16,979.69,944.46,951.52,0.0789,0.0819,0.0812,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,4352,4096,4096,bf16,1153.83,1109.85,1111.13,0.1266,0.1316,0.1314,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,6400,4096,4096,bf16,1240.69,1191.72,1194.86,0.1731,0.1803,0.1797,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,8448,4096,4096,bf16,1399.65,1364.14,1362.41,0.2025,0.2078,0.2081,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,10496,4096,4096,bf16,1443.77,1415.65,1411.91,0.2439,0.2488,0.2494,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,12544,4096,4096,bf16,1475.25,1454.96,1455.42,0.2853,0.2893,0.2892,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,14592,4096,4096,bf16,1535.15,1513.06,1513.43,0.3189,0.3236,0.3235,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,16640,4096,4096,bf16,1551.24,1529.23,1529.01,0.3599,0.3651,0.3652,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,18688,4096,4096,bf16,1623.24,1604.21,1607.66,0.3863,0.3909,0.3900,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,256,4096,4096,bf16,277.02,239.19,247.41,0.0310,0.0369,0.0347,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,2304,4096,4096,bf16,956.42,911.21,913.74,0.0808,0.0850,0.0846,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,4352,4096,4096,bf16,1304.20,1248.68,1264.81,0.1120,0.1172,0.1155,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,6400,4096,4096,bf16,981.70,950.79,957.40,0.2188,0.2260,0.2243,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,8448,4096,4096,bf16,1134.67,1101.73,1106.47,0.2498,0.2574,0.2562,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,10496,4096,4096,bf16,1204.14,1174.45,1181.85,0.2925,0.3000,0.2980,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,12544,4096,4096,bf16,1489.45,1447.66,1452.45,0.2826,0.2909,0.2898,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,14592,4096,4096,bf16,1399.25,1379.95,1381.63,0.3499,0.3548,0.3544,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,16640,4096,4096,bf16,1575.75,1528.51,1528.14,0.3543,0.3655,0.3654,NVIDIA GB200,2062,3996,1950,3996
node2_gpu1,18688,4096,4096,bf16,1506.44,1484.81,1483.69,0.4163,0.4224,0.4226,NVIDIA GB200,2062,3996,1950,3996
