test,sum_gbps
host_to_device_memcpy_ce,845.65
device_to_host_memcpy_ce,773.91
host_to_device_bidirectional_memcpy_ce,675.44
device_to_host_bidirectional_memcpy_ce,673.81
device_to_device_memcpy_read_ce,9214.92
device_to_device_memcpy_write_ce,9302.41
device_to_device_bidirectional_memcpy_read_ce_read1,9161.34
device_to_device_bidirectional_memcpy_read_ce_read2,9159.66
device_to_device_bidirectional_memcpy_read_ce_total,18320.99
device_to_device_bidirectional_memcpy_write_ce_write1,9253.14
device_to_device_bidirectional_memcpy_write_ce_write2,9246.29
device_to_device_bidirectional_memcpy_write_ce_total,18499.43
all_to_host_memcpy_ce,734.82
all_to_host_bidirectional_memcpy_ce,348.05
host_to_all_memcpy_ce,708.72
host_to_all_bidirectional_memcpy_ce,347.77
all_to_one_write_ce,3179.92
all_to_one_read_ce,2635.07
one_to_all_write_ce,2981.91
one_to_all_read_ce,3179.1
host_to_device_memcpy_sm,845.87
device_to_host_memcpy_sm,773.47
host_to_device_bidirectional_memcpy_sm,668.36
device_to_host_bidirectional_memcpy_sm,669.25
device_to_device_memcpy_read_sm,9428.29
device_to_device_memcpy_write_sm,8606.45
device_to_device_bidirectional_memcpy_read_sm_read1,8080.37
device_to_device_bidirectional_memcpy_read_sm_read2,8083.59
device_to_device_bidirectional_memcpy_read_sm_total,16163.97
device_to_device_bidirectional_memcpy_write_sm_write1,8476.19
device_to_device_bidirectional_memcpy_write_sm_write2,8474.91
device_to_device_bidirectional_memcpy_write_sm_total,16951.1
all_to_host_memcpy_sm,702.48
all_to_host_bidirectional_memcpy_sm,337.25
host_to_all_memcpy_sm,696.55
host_to_all_bidirectional_memcpy_sm,336.42
all_to_one_write_sm,2873.09
all_to_one_read_sm,2920.54
one_to_all_write_sm,2921.47
one_to_all_read_sm,2873.04
host_device_latency_sm,2361.05
device_to_device_latency_sm,20761.57
device_local_copy,13083.2
