label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,16384,16384,16384,bf16,50,5.959939736640081,5.999593995511532,6.049866962712258,1475.8694568893077,1466.1147118936062,1453.931644517446,0,2062,3996,1950,3996
node2_gpu1,16384,16384,16384,bf16,50,5.781577095622197,5.891880951821804,6.023689988069236,1521.4002817446456,1492.9176427925272,1460.249953040395,1,2062,3996,1950,3996
node2_gpu2,16384,16384,16384,bf16,50,5.732050525257364,5.859463999513537,5.923272983636707,1534.5456191374137,1501.1770740358277,1485.0055107214507,2,2062,3996,1950,3996
node2_gpu3,16384,16384,16384,bf16,50,5.656486004590988,5.7031429605558515,5.834695009980351,1555.0454849651894,1542.3237823501267,1507.5497531854064,3,2062,3996,1950,3996
node2_gpu0,16384,16384,16384,bf16,50,5.8952312823385,6.010085984598845,6.244419957511127,1492.069199822606,1463.5552710474428,1408.6325202435467,0,2062,3996,1950,3996
node2_gpu1,16384,16384,16384,bf16,50,5.801155902445316,5.81997400149703,6.187491992022842,1516.265580537191,1511.3629407872688,1421.592631319486,1,2062,3996,1950,3996
node2_gpu2,16384,16384,16384,bf16,50,5.835306505905464,5.897639028262347,6.041893968358636,1507.3917733894784,1491.4600537699644,1455.8502794443411,2,2062,3996,1950,3996
node2_gpu3,16384,16384,16384,bf16,50,5.516480038641021,5.686823977157474,6.022117973770946,1594.5118917488023,1546.7496545593235,1460.631136839061,3,2062,3996,1950,3996
