label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops
node1_gpu0,16384,16384,16384,bf16,50,6.910281702294014,6.914252007845789,6.923979992279783,1272.8993405996678,1272.1684156473955,1270.3810571399135
node1_gpu1,16384,16384,16384,bf16,50,5.867012401577085,6.045254995115101,6.23255199752748,1499.2456841992632,1455.0408592053977,1411.3148234780078
node1_gpu2,16384,16384,16384,bf16,50,5.701214300934225,5.770276999101043,5.995269981212914,1542.8455339359257,1524.3796829126838,1467.1721289903355
node1_gpu3,16384,16384,16384,bf16,50,5.660861443611793,5.740900989621878,6.01856698631309,1553.8435465743955,1532.179885719881,1461.492917202936
