label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops
node1,16384,16384,16384,bf16,10,5.394690298999194,5.550358007894829,5.725654991692863,1630.5093591451996,1584.7793979589133,1536.259700413301
node1,16384,16384,16384,bf16,10,5.2528085972880945,5.347829996026121,5.573750997427851,1674.5504541606986,1644.7966799139508,1578.128091166466
node1,16384,16384,16384,bf16,10,6.126880300871562,6.5349799988325685,6.601219996809959,1435.6560909075922,1346.0015216235342,1332.495057952729
node2,16384,16384,16384,bf16,10,5.949833600607235,6.521442992379889,6.6773800062946975,1478.376306408011,1348.795509289274,1317.2970557188617
