label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops
node1_gpu0,16384,16384,16384,bf16,50,6.921312281629071,6.907370989210904,6.94292300613597,1270.8707054809643,1273.435730605352,1266.9149599432758
node1_gpu1,16384,16384,16384,bf16,50,5.80092950258404,5.925748002482578,6.104818981839344,1516.3247576599158,1484.385265543337,1440.8442000286454
node1_gpu2,16384,16384,16384,bf16,50,5.608175437664613,5.7646940113045275,5.999604007229209,1568.441130270867,1525.856013338942,1466.112265344374
node1_gpu3,16384,16384,16384,bf16,50,5.694091360201128,5.739927000831813,6.022581015713513,1544.775534106868,1532.4398761401142,1460.5188372324287
