model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,completed,failed
openai/gpt-oss-120b,4,1024,1024,32,320,6.309,6460.850,12921.701,233.299,215.203,498.527,4.728,4.726,4.969,81.241,99.000,174918.534,174929.000,320,0
openai/gpt-oss-120b,4,1024,1024,64,640,12.415,12713.208,25426.417,189.140,172.255,460.626,4.846,4.784,6.004,77.135,100.000,174919.230,174929.000,640,0
openai/gpt-oss-120b,4,1024,1024,128,1280,17.835,18263.319,36526.639,305.124,244.748,789.292,6.698,6.449,8.001,81.375,100.000,174919.500,174929.000,1280,0
openai/gpt-oss-120b,4,1024,1024,256,2560,26.830,27473.647,54947.294,425.749,418.469,869.511,8.853,8.934,10.929,78.085,100.000,174919.500,174929.000,2560,0
openai/gpt-oss-120b,4,1024,1024,512,5120,25.063,25664.353,51328.705,7004.857,7741.674,11955.548,12.672,13.447,19.081,81.445,100.000,174919.624,174931.000,5120,0
