label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu3,256,4096,4096,bf16,266.04,220.92,234.96,0.0323,0.0411,0.0366,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,2304,4096,4096,bf16,903.49,867.44,873.59,0.0856,0.0892,0.0885,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,4352,4096,4096,bf16,1128.16,1068.73,1068.84,0.1294,0.1367,0.1366,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,6400,4096,4096,bf16,1214.42,1185.85,1191.78,0.1768,0.1812,0.1802,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,8448,4096,4096,bf16,1368.09,1323.30,1327.60,0.2072,0.2143,0.2135,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,10496,4096,4096,bf16,1431.19,1397.38,1405.78,0.2461,0.2522,0.2505,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,12544,4096,4096,bf16,1636.39,1600.19,1607.30,0.2572,0.2632,0.2619,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,14592,4096,4096,bf16,1586.73,1549.09,1547.88,0.3086,0.3161,0.3163,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,16640,4096,4096,bf16,1615.28,1588.56,1587.87,0.3457,0.3515,0.3516,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,18688,4096,4096,bf16,1651.42,1630.01,1635.16,0.3797,0.3847,0.3835,NVIDIA GB200,2062,3996,1950,3996
