label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,16384,16384,16384,bf16,50,5.668950159451924,5.779622006230056,5.912902997806668,1551.6264519528618,1521.9149302024223,1487.6098974515262,0,2062,3996,1950,3996
node2_gpu1,16384,16384,16384,bf16,50,5.657116522779688,5.816357996081933,5.904295016080141,1554.872166197832,1512.3025488000055,1489.7787116416353,1,2062,3996,1950,3996
node2_gpu2,16384,16384,16384,bf16,50,5.707978641148657,5.853253998793662,6.0529669863171875,1541.017157772318,1502.769745516058,1453.187014251306,2,2062,3996,1950,3996
node2_gpu3,16384,16384,16384,bf16,50,5.6753980810754,5.758695013355464,5.877638002857566,1549.8636212917907,1527.4455413610647,1496.5353459895882,3,2062,3996,1950,3996
