label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu1,256,4096,4096,bf16,245.15,220.20,234.14,0.0350,0.0404,0.0367,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,2304,4096,4096,bf16,1125.78,1076.95,1094.18,0.0687,0.0719,0.0707,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,4352,4096,4096,bf16,1299.00,1249.69,1258.87,0.1124,0.1170,0.1160,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,6400,4096,4096,bf16,1202.67,1184.16,1184.10,0.1786,0.1814,0.1814,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,8448,4096,4096,bf16,1378.95,1335.29,1338.93,0.2056,0.2124,0.2117,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,10496,4096,4096,bf16,1411.19,1373.41,1387.35,0.2496,0.2572,0.2539,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,12544,4096,4096,bf16,1434.39,1414.39,1414.79,0.2934,0.2976,0.2975,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,14592,4096,4096,bf16,1531.46,1503.37,1506.43,0.3197,0.3257,0.3250,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,16640,4096,4096,bf16,1621.89,1593.85,1601.57,0.3443,0.3504,0.3486,NVIDIA GB200,2062,3996,1950,3996
node1_gpu1,18688,4096,4096,bf16,1579.41,1554.89,1561.85,0.3970,0.4034,0.4015,NVIDIA GB200,2062,3996,1950,3996
