label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops
node1,8192,8192,8192,bf16,10,0.6526523997308686,0.6519059970742092,0.6614750018343329,1684.6818125994798,1686.6106964971484,1662.2119123579123
node1,16384,16384,16384,bf16,10,5.015868599002715,4.703828992205672,5.842906000907533,1753.6530011884465,1869.9857152084573,1505.4312050958497
node1,24576,24576,24576,bf16,10,19.629693901515566,19.539927001460455,20.349690996226855,1512.3421739989508,1519.289910741895,1458.8336479141817
node2,8192,8192,8192,bf16,10,0.7110563004971482,0.7096960034687072,0.7141759997466579,1546.307411954941,1549.2712688278243,1539.5527547355744
node2,16384,16384,16384,bf16,10,5.920741400041152,6.1225950048537925,6.369442999130115,1485.6404676189477,1436.660928125206,1380.983081787418
node2,24576,24576,24576,bf16,10,21.683675100211985,21.757287991931662,22.014856003806926,1369.0859050762008,1364.4537849092621,1348.4900353115368
