model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,completed,failed
openai/gpt-oss-120b,4,1024,1024,32,320,6.692,6852.813,13705.627,200.011,201.191,354.533,4.477,4.471,4.615,79.750,99.000,174926.643,174938.000,320,0
openai/gpt-oss-120b,4,1024,1024,64,640,12.439,12737.812,25475.625,128.888,126.045,246.176,4.883,4.837,5.852,76.578,99.500,174927.000,174938.000,640,0
openai/gpt-oss-120b,4,1024,1024,128,1280,18.815,19266.090,38532.181,190.260,189.111,492.982,6.426,6.378,7.607,77.850,100.000,174927.000,174938.000,1280,0
openai/gpt-oss-120b,4,1024,1024,256,2560,22.871,23420.190,46840.379,920.398,830.474,2366.665,9.700,9.533,12.656,81.398,100.000,174927.000,174938.000,2560,0
openai/gpt-oss-120b,4,1024,1024,512,5120,23.386,23947.550,47895.099,6215.442,5628.370,14317.215,15.175,17.959,23.921,80.349,100.000,174927.430,174938.000,5120,0
