label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,16384,16384,16384,bf16,50,5.584261160111055,5.679517984390259,6.013117003021762,1575.157889290599,1548.739355414213,1462.8175400192138,0,2062,3996,1950,3996
node1_gpu1,16384,16384,16384,bf16,50,5.89679931930732,5.952093983069062,6.201981974299997,1491.6724388784612,1477.8148744339037,1418.2712975719014,1,2062,3996,1950,3996
node1_gpu2,16384,16384,16384,bf16,50,5.558841641177423,5.575167015194893,6.0694069834426045,1582.3607848531717,1577.7272677633878,1449.2508158052044,2,2062,3996,1950,3996
node1_gpu3,16384,16384,16384,bf16,50,5.695884940214455,5.7109430199489,5.950206978013739,1544.2890989783266,1540.2172621023112,1478.283537818084,3,2062,3996,1950,3996
