label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,16384,16384,16384,bf16,50,5.692641003988683,5.762682005297393,5.86783402832225,1545.1691079842922,1526.3887568535135,1499.0357565929667,0,2062,3996,1950,3996
node1_gpu1,16384,16384,16384,bf16,50,5.883453042479232,6.046074035111815,6.144729966763407,1495.0562125165545,1454.8437500311436,1431.4856909556167,1,2062,3996,1950,3996
node1_gpu2,16384,16384,16384,bf16,50,5.744515022961423,5.832250986713916,6.060859013814479,1531.2159489615924,1508.1814966889845,1451.2947755687962,2,2062,3996,1950,3996
node1_gpu3,16384,16384,16384,bf16,50,5.643911021761596,5.767516035120934,5.8238040073774755,1558.5102224844313,1525.1094177536277,1510.3689978346265,3,2062,3996,1950,3996
