label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops
node2_gpu0,16384,16384,16384,bf16,50,5.938980400096625,6.053108983905986,6.134453025879338,1481.077967872211,1453.152924488071,1433.883833668631
node2_gpu1,16384,16384,16384,bf16,50,5.78679648169782,5.889268999453634,6.174612004542723,1520.028058707063,1493.5797673741922,1424.558015262599
node2_gpu2,16384,16384,16384,bf16,50,5.874854018329643,5.942324991337955,6.0882770048920065,1497.244526377003,1480.244354697857,1444.759004089372
node2_gpu3,16384,16384,16384,bf16,50,5.690089001436718,5.923029006225988,6.1103570042178035,1545.8621156869485,1485.066680065553,1439.5383143957563
