model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,completed,failed
Qwen/Qwen2.5-0.5B-Instruct,1,128,128,1,10,5.480,701.467,1402.934,13.375,10.755,34.364,1.330,1.330,1.332,2.205,24.000,42797.364,171177.000,10,0
Qwen/Qwen2.5-0.5B-Instruct,1,128,128,2,20,9.261,1185.403,2370.805,17.734,16.453,27.469,1.559,1.559,1.564,3.688,22.500,42797.479,171176.000,20,0
