label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu3,256,4096,4096,bf16,236.72,198.58,209.55,0.0363,0.0451,0.0410,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,2304,4096,4096,bf16,929.91,884.73,885.11,0.0831,0.0874,0.0873,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,4352,4096,4096,bf16,1077.04,1052.20,1057.94,0.1356,0.1389,0.1380,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,6400,4096,4096,bf16,1358.48,1320.55,1331.00,0.1581,0.1627,0.1613,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,8448,4096,4096,bf16,1373.82,1335.75,1344.11,0.2063,0.2123,0.2109,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,10496,4096,4096,bf16,1492.32,1304.76,1411.28,0.2360,0.3278,0.2496,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,12544,4096,4096,bf16,1534.10,1498.48,1505.48,0.2744,0.2810,0.2796,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,14592,4096,4096,bf16,1654.32,1591.57,1601.34,0.2960,0.3079,0.3058,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,16640,4096,4096,bf16,1666.66,1617.96,1619.63,0.3350,0.3452,0.3447,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,18688,4096,4096,bf16,1508.30,1484.19,1484.47,0.4157,0.4226,0.4224,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,256,4096,4096,bf16,205.23,181.24,186.22,0.0419,0.0485,0.0461,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,2304,4096,4096,bf16,1166.55,1110.26,1126.57,0.0663,0.0698,0.0686,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,4352,4096,4096,bf16,1091.72,1058.96,1054.88,0.1338,0.1379,0.1384,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,6400,4096,4096,bf16,1391.72,1316.21,1327.58,0.1543,0.1633,0.1618,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,8448,4096,4096,bf16,1537.11,1498.83,1503.97,0.1844,0.1892,0.1885,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,10496,4096,4096,bf16,1519.10,1473.60,1479.48,0.2318,0.2391,0.2380,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,12544,4096,4096,bf16,1308.53,1284.08,1288.60,0.3217,0.3278,0.3266,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,14592,4096,4096,bf16,1389.59,1353.11,1357.06,0.3524,0.3620,0.3608,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,16640,4096,4096,bf16,1519.23,1485.29,1488.83,0.3675,0.3761,0.3750,NVIDIA GB200,2062,3996,1950,3996
node1_gpu3,18688,4096,4096,bf16,1646.98,1613.03,1617.68,0.3807,0.3888,0.3876,NVIDIA GB200,2062,3996,1950,3996
