timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active, clocks_event_reasons.gpu_idle, clocks_event_reasons.sw_power_cap, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sync_boost
2026/02/07 22:27:29.981, 1, P0, 99 %, 17 %, 1290 MHz, 3996 MHz, 1182.97 W, 73, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:30.981, 1, P0, 99 %, 17 %, 1282 MHz, 3996 MHz, 1182.89 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:31.981, 1, P0, 99 %, 16 %, 1267 MHz, 3996 MHz, 1180.77 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:32.981, 1, P0, 99 %, 16 %, 1275 MHz, 3996 MHz, 1181.13 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:33.981, 1, P0, 99 %, 16 %, 1260 MHz, 3996 MHz, 1185.16 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:34.982, 1, P0, 99 %, 18 %, 1260 MHz, 3996 MHz, 1179.81 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:35.982, 1, P0, 99 %, 19 %, 1237 MHz, 3996 MHz, 1178.86 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:36.982, 1, P0, 99 %, 19 %, 1237 MHz, 3996 MHz, 1181.85 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:37.982, 1, P0, 99 %, 19 %, 1260 MHz, 3996 MHz, 1179.60 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:38.982, 1, P0, 99 %, 18 %, 1237 MHz, 3996 MHz, 1180.78 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:39.982, 1, P0, 99 %, 19 %, 1260 MHz, 3996 MHz, 1181.36 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:40.983, 1, P0, 99 %, 19 %, 1260 MHz, 3996 MHz, 1181.26 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:41.983, 1, P0, 99 %, 19 %, 1650 MHz, 3996 MHz, 1164.23 W, 68, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:42.983, 1, P0, 99 %, 18 %, 1252 MHz, 3996 MHz, 1192.32 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:43.983, 1, P0, 99 %, 19 %, 1245 MHz, 3996 MHz, 1176.04 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:44.983, 1, P0, 99 %, 19 %, 1230 MHz, 3996 MHz, 1178.05 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:45.983, 1, P0, 99 %, 19 %, 1230 MHz, 3996 MHz, 1176.08 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:46.984, 1, P0, 99 %, 19 %, 1260 MHz, 3996 MHz, 1177.79 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:47.984, 1, P0, 100 %, 18 %, 1297 MHz, 3996 MHz, 1177.05 W, 73, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:27:48.984, 1, P0, 100 %, 18 %, 1260 MHz, 3996 MHz, 1175.12 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
