label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu2,256,4096,4096,bf16,253.72,213.82,230.36,0.0339,0.0421,0.0373,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,2304,4096,4096,bf16,953.40,913.92,918.09,0.0811,0.0847,0.0842,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,4352,4096,4096,bf16,1129.56,1060.49,1066.84,0.1293,0.1379,0.1369,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,6400,4096,4096,bf16,1249.70,1184.56,1203.21,0.1718,0.1816,0.1785,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,8448,4096,4096,bf16,1426.70,1340.56,1357.03,0.1987,0.2118,0.2089,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,10496,4096,4096,bf16,1441.50,1416.39,1416.27,0.2443,0.2487,0.2487,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,12544,4096,4096,bf16,1484.91,1455.30,1463.19,0.2835,0.2893,0.2877,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,14592,4096,4096,bf16,1548.20,1522.39,1528.48,0.3163,0.3217,0.3203,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,16640,4096,4096,bf16,1605.62,1538.84,1534.93,0.3477,0.3630,0.3638,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,18688,4096,4096,bf16,1617.08,1558.88,1563.41,0.3878,0.4025,0.4011,NVIDIA GB200,2062,3996,1950,3996
