label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu0,16384,16384,16384,bf16,50,5.740910678869113,5.798384023364633,5.929073027800769,1532.1772997765436,1516.9904212560043,1483.5528219949545,0,2062,3996,1950,3996
node1_gpu1,16384,16384,16384,bf16,50,5.8731308043934405,5.983090028166771,6.300501001533121,1497.6838274448128,1470.1588946177262,1396.0942185498614,1,2062,3996,1950,3996
node1_gpu2,16384,16384,16384,bf16,50,5.702723120339215,5.757200997322798,6.1257160268723965,1542.4373297795285,1527.8419194150667,1435.928956487886,2,2062,3996,1950,3996
node1_gpu3,16384,16384,16384,bf16,50,5.645266781793907,5.744975991547108,6.390133989043534,1558.135932667623,1531.0930864028264,1376.5115156097982,3,2062,3996,1950,3996
node1_gpu0,16384,16384,16384,bf16,50,5.600802260451019,5.743644025642425,6.0716450097970665,1570.5059048986445,1531.4481508495228,1448.7166176571302,0,2062,3996,1950,3996
node1_gpu1,16384,16384,16384,bf16,50,5.968600721098483,6.067614012863487,6.205661979038268,1473.727835590439,1449.679067185235,1417.4302519086268,1,2062,3996,1950,3996
node1_gpu2,16384,16384,16384,bf16,50,5.623704501194879,5.747100978624076,6.09609397361055,1564.1101022180444,1530.5269656692008,1442.9064020806613,2,2062,3996,1950,3996
node1_gpu3,16384,16384,16384,bf16,50,5.537776576820761,5.731900979299098,6.076861987821758,1588.379903050881,1534.5856556097717,1447.47289634612,3,2062,3996,1950,3996
