label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,16384,16384,16384,bf16,50,5.652008517645299,5.677659995853901,5.80671604257077,1556.2773825883348,1549.2461733586244,1514.813701534777,0,2062,3996,1950,3996
node2_gpu1,16384,16384,16384,bf16,50,5.655987460631877,5.738971987739205,5.906234961003065,1555.1825536093595,1532.6948869937085,1489.28938321718,1,2062,3996,1950,3996
node2_gpu2,16384,16384,16384,bf16,50,5.827299361117184,5.8585560182109475,6.167963962070644,1509.4630423314397,1501.4097321705053,1426.093452604264,2,2062,3996,1950,3996
node2_gpu3,16384,16384,16384,bf16,50,5.64547109650448,5.721372028347105,6.07061997288838,1558.0795423174338,1537.4097294542087,1448.9612364950674,3,2062,3996,1950,3996
