label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,256,4096,4096,bf16,276.45,248.17,256.39,0.0311,0.0352,0.0335,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,2304,4096,4096,bf16,942.25,899.16,897.44,0.0820,0.0861,0.0861,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,4352,4096,4096,bf16,1156.46,1060.23,1081.38,0.1263,0.1382,0.1350,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,6400,4096,4096,bf16,994.65,959.97,959.31,0.2159,0.2238,0.2239,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,8448,4096,4096,bf16,1159.47,1134.04,1137.80,0.2445,0.2500,0.2491,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,10496,4096,4096,bf16,1237.31,1201.93,1201.13,0.2846,0.2931,0.2932,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,12544,4096,4096,bf16,1525.73,1486.22,1492.75,0.2759,0.2833,0.2820,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,14592,4096,4096,bf16,1510.00,1481.91,1482.71,0.3243,0.3304,0.3302,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,16640,4096,4096,bf16,1382.26,1351.46,1351.59,0.4039,0.4132,0.4131,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,18688,4096,4096,bf16,1528.77,1510.36,1512.96,0.4102,0.4152,0.4145,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,256,4096,4096,bf16,273.63,251.60,260.74,0.0314,0.0348,0.0329,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,2304,4096,4096,bf16,947.05,903.15,910.64,0.0816,0.0857,0.0849,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,4352,4096,4096,bf16,1114.38,1043.09,1049.78,0.1310,0.1402,0.1391,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,6400,4096,4096,bf16,1203.75,1174.25,1179.31,0.1784,0.1830,0.1821,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,8448,4096,4096,bf16,1381.53,1333.11,1332.99,0.2052,0.2127,0.2127,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,10496,4096,4096,bf16,1420.48,1386.69,1389.98,0.2479,0.2541,0.2534,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,12544,4096,4096,bf16,1466.86,1433.94,1436.43,0.2869,0.2936,0.2930,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,14592,4096,4096,bf16,1530.39,1495.20,1492.04,0.3199,0.3275,0.3282,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,16640,4096,4096,bf16,1533.78,1507.22,1508.98,0.3640,0.3705,0.3700,NVIDIA GB200,2062,3996,1950,3996
node2_gpu0,18688,4096,4096,bf16,1579.67,1560.09,1562.85,0.3970,0.4020,0.4012,NVIDIA GB200,2062,3996,1950,3996
