model,tp,isl,osl,concurrency,num_prompts,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,gpu_util_mean_pct,gpu_util_p95_pct,mem_used_mean_mb,mem_used_max_mb,completed,failed
openai/gpt-oss-120b,4,1024,1024,32,320,5.981,6124.828,12249.657,216.943,214.590,384.353,5.016,5.021,5.165,81.393,100.000,174913.143,174929.000,320,0
openai/gpt-oss-120b,4,1024,1024,64,640,11.093,11358.854,22717.708,173.010,167.525,347.519,5.452,5.415,6.599,81.333,100.000,174913.277,174929.000,640,0
openai/gpt-oss-120b,4,1024,1024,128,1280,17.998,18429.594,36859.189,245.373,251.649,492.626,6.666,6.737,8.175,79.696,100.000,174914.253,174929.000,1280,0
openai/gpt-oss-120b,4,1024,1024,256,2560,22.664,23208.019,46416.038,1021.728,945.201,2425.266,9.758,9.883,11.663,80.514,100.000,174914.500,174929.000,2560,0
openai/gpt-oss-120b,4,1024,1024,512,5120,23.617,24184.315,48368.629,5174.169,4865.352,12834.962,15.664,17.153,25.998,80.653,100.000,174914.500,174929.000,5120,0
