label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node1_gpu2,256,4096,4096,bf16,283.16,248.88,268.71,0.0303,0.0359,0.0320,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,2304,4096,4096,bf16,997.49,959.91,965.21,0.0775,0.0807,0.0801,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,4352,4096,4096,bf16,1177.35,1146.34,1153.98,0.1240,0.1274,0.1265,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,6400,4096,4096,bf16,1276.32,1248.77,1252.15,0.1683,0.1720,0.1715,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,8448,4096,4096,bf16,1453.38,1429.05,1430.38,0.1950,0.1984,0.1982,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,10496,4096,4096,bf16,1487.68,1462.06,1461.02,0.2367,0.2409,0.2411,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,12544,4096,4096,bf16,1663.51,1634.22,1638.53,0.2530,0.2576,0.2569,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,14592,4096,4096,bf16,1716.88,1688.90,1694.63,0.2852,0.2900,0.2889,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,16640,4096,4096,bf16,1615.28,1591.75,1591.93,0.3457,0.3508,0.3507,NVIDIA GB200,2062,3996,1950,3996
node1_gpu2,18688,4096,4096,bf16,1631.49,1603.00,1605.23,0.3844,0.3912,0.3906,NVIDIA GB200,2062,3996,1950,3996
