label,m,n,k,dtype,iters,avg_ms,p50_ms,p99_ms,avg_tflops,p50_tflops,p99_tflops,physical_gpu,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu0,16384,16384,16384,bf16,50,5.889868845697492,5.957502988167107,6.318462023045868,1493.4276556316672,1476.47311964072,1392.1256454696186,0,2062,3996,1950,3996
node2_gpu1,16384,16384,16384,bf16,50,5.773031455464661,5.882647004909813,5.971543025225401,1523.6523635917065,1495.2610644267022,1473.0016990668812,1,2062,3996,1950,3996
node2_gpu2,16384,16384,16384,bf16,50,5.896973775234073,5.923192016780376,6.183287012390792,1491.6283092778126,1485.0258099498897,1422.5593935040315,2,2062,3996,1950,3996
node2_gpu3,16384,16384,16384,bf16,50,5.647417745785788,5.707320000510663,5.893911991734058,1557.5424766074398,1541.1949954481208,1492.40318391997,3,2062,3996,1950,3996
